gene	in_177_set	named_factor	chromosome	strand	event_type	element_start	element_end	element_length	element_annotation	element_transcript_types	inclusion_junction	skipping_junction	measured_path	both_junctions_annotated	seen_from_both_sides	mean_PSI	PSI_slowest_third	PSI_fastest_third	dPSI_percentage_points	d_logit_per_score_unit	t_prolif	P_prolif	FDR_prolif	d_age_per_decade	FDR_age	d_age_adj_per_decade	FDR_age_adj
HNRNPH1	TRUE	FALSE	chr5	-	cassette exon	179616869	179616958	90	coding exon	protein_coding;retained_intron	chr5:179616219-179616868	chr5:179616219-179617020	skipping	TRUE	FALSE	0.0697878994064761	0.0580586754533089	0.080110166571215	2.20514911179061	0.156800753074061	2.62005318209262	0.0101203055949186	0.0378232520091407	0.0123835435063674	0.892282704818756	0.0498211043531121	0.628787243625167
HNRNPH1	TRUE	FALSE	chr5	-	cassette exon	179615546	179615595	50	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr5:179614960-179615545	chr5:179614960-179616125	skipping	TRUE	TRUE	0.130410929992687	0.106030967857541	0.141741741694115	3.57107738365744	0.173571911209481	2.17351258946362	0.0320328486400324	0.0912426450793557	-0.00670922530073321	0.990017488437493	0.0309129714744534	0.944113575193574
HNRNPH1	TRUE	FALSE	chr5	-	cassette exon	179619269	179619407	139	coding exon	protein_coding;retained_intron	chr5:179618324-179619268	chr5:179618324-179620891	skipping	TRUE	TRUE	0.0974234347241798	0.114151105806804	0.0830577701363412	-3.10933356704625	-0.168353895220254	-2.13635670901235	0.0350190439259114	0.0962811385545876	0.0503892596670178	0.50222836969388	0.0221073877670752	1
HNRNPK	TRUE	TRUE	chr9	-	cassette exon	83980153	83980250	98	coding exon	protein_coding	chr9:83978453-83980152	chr9:83978453-83980502	inclusion	TRUE	FALSE	0.0948586117169901	0.0647938768825146	0.112814808542224	4.80209316597097	0.281792051688111	3.3963795337031	0.000971306654426226	0.00608363523333995	-0.055248668517734	0.495586947167869	-0.00246754373306141	1
HNRNPK	TRUE	TRUE	chr9	-	cassette exon	83969416	83969440	25	non-coding annotation only	retained_intron	chr9:83969441-83970161	chr9:83969381-83970161	skipping	TRUE	FALSE	0.253020676456889	0.223627024043147	0.26184495772839	3.82179336852432	0.119929448792618	2.6686604313037	0.00884841582457807	0.0345108511690253	-0.0947121230581174	0.000638846036912277	-0.085568387809292	0.0410245036847029
HNRNPK	TRUE	TRUE	chr9	-	cassette exon	83973902	83973973	72	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr9:83973974-83974516	chr9:83973400-83974516	skipping	TRUE	TRUE	0.105146963477483	0.112373977888742	0.101239826825507	-1.11341510632346	-0.0855382845670475	-2.01648858099155	0.0463517396837504	0.120984088000335	0.051150587798366	0.0948722061626179	0.0415605220848516	0.48353713966026
HNRNPM	TRUE	TRUE	chr19	+	cassette exon	8483158	8483211	54	coding exon	nonsense_mediated_decay;processed_transcript;protein_coding	chr19:8483212-8485602	chr19:8474245-8485602	skipping	TRUE	TRUE	0.330726416483801	0.347487253166761	0.337936190283921	-0.955106288283974	0.00977504893290915	0.174023086209287	0.862188892255861	0.963792180251737	-0.0166224445648644	0.816324284430447	-0.0175426824724037	0.983234759464368
HNRNPR	TRUE	FALSE	chr1	-	cassette exon	23333518	23333631	114	coding exon	protein_coding	chr1:23333632-23337753	chr1:23323733-23337753	skipping	TRUE	TRUE	0.0523830299824177	0.0459805913991272	0.0571581006364232	1.1177509237296	0.189848367558245	2.37703866012016	0.019298548503155	0.0621590212138671	-0.0414240439173064	0.637209752049209	-0.00665055797574474	1
HNRNPR	TRUE	FALSE	chr1	-	cassette exon	23340852	23341020	169	coding exon	protein_coding	chr1:23338609-23340851	chr1:23338609-23344210	skipping	TRUE	FALSE		0.41866336031492	0.49713770726716	7.847434695224	0.0788450923401954	0.737280856911366	0.46264419165761	0.652073309501671	0.0259944949854009	0.861321182717944	0.0485659536645575	0.902506498809721
MAGOH	TRUE	FALSE	chr1	-	cassette exon	53233542	53233652	111	coding exon	protein_coding	chr1:53228955-53233541	chr1:53228955-53235576	skipping	TRUE	TRUE	0.127093394514304	0.115027037740128	0.12269238290371	0.76653451635823	0.0724633587970685	0.779529888015252	0.437455129678815	0.628022328424504	0.0291484542808108	0.800312332292369	0.0508321269106005	0.846802145998523
PAPOLA	TRUE	FALSE	chr14	+	cassette exon	96560649	96560711	63	coding exon	nonsense_mediated_decay;processed_transcript;protein_coding	chr14:96556414-96560648	chr14:96556414-96564954	skipping	TRUE	FALSE	0.204721143391865	0.21664769957466	0.2029490325048	-1.36986670698596	0.056238648815447	1.03591607155163	0.302667264176322	0.499452384989651	-0.00462444174255412	0.987823745136366	0.00710698914592449	1
PAPOLA	TRUE	FALSE	chr14	+	cassette exon	96562819	96562893	75	coding exon	nonsense_mediated_decay;processed_transcript;protein_coding;retained_intron	chr14:96562894-96564954	chr14:96556414-96564954	skipping	TRUE	FALSE	0.136425238003313	0.138105146840384	0.134488341612924	-0.361680522746088	0.0353168258359553	0.724928038369529	0.470139845421686	0.660175728438959	-0.0144194456847687	0.816540274104291	-0.00920659959186428	1
PCBP2	TRUE	FALSE	chr12	+	cassette exon	53465932	53465973	42	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr12:53465974-53467220	chr12:53464853-53467220	skipping	TRUE	TRUE	0.0394381609790002	0.0331905905056743	0.0425176666020507	0.932707609637636	0.152816121453222	3.2189297954661	0.00172115867821091	0.00965950604718698	-0.0178571067205357	0.766423600195978	0.0130306004796902	1
PCBP2	TRUE	FALSE	chr12	+	cassette exon	53467805	53467843	39	coding exon	nonsense_mediated_decay;protein_coding	chr12:53467844-53468776	chr12:53467294-53468776	skipping	TRUE	TRUE	0.352892277598989	0.398197805202813	0.320417490161184	-7.77803150416291	-0.0956676587303823	-2.78670048003361	0.00634066049250903	0.0269220803183811	0.0175134714794696	0.646374045076162	-0.000638176390358607	1
PCBP2	TRUE	FALSE	chr12	+	cassette exon	53464760	53464852	93	coding exon	nonsense_mediated_decay;protein_coding	chr12:53462568-53464759	chr12:53462568-53467220	skipping	TRUE	TRUE	0.0531609850595002	0.046602059063428	0.0580670320585187	1.14649729950906	0.111723178769994	2.09883382597162	0.038276506648037	0.10323425781917	-0.0132153392871345	0.861321182717944	0.00933657535199887	1
PCBP2	TRUE	FALSE	chr12	+	alternative 3' splice site	53468777	53468779	3	coding exon	nonsense_mediated_decay;protein_coding	chr12:53467844-53468776	chr12:53467844-53468779	skipping	TRUE	FALSE	0.266123228016772	0.268183529764166	0.263936637901752	-0.424689186241412	-0.00859264264972693	-0.429796300321183	0.66824164296864	0.8237367987446	0.0129467429072064	0.4812369829157	0.0134441781784756	0.77459555409508
PTBP1	TRUE	FALSE	chr19	+	cassette exon	805492	805569	78	coding exon	nonsense_mediated_decay;protein_coding	chr19:805570-806407	chr19:805188-806407	skipping	TRUE	TRUE	0.0774787724922248	0.0504236130002469	0.0959848532642072	4.55612402639604	0.459914839461821	5.3266374928415	5.90730549019569e-07	1.14151965750884e-05	-0.0272898289482948	0.831339297884748	0.0706184478754884	0.647905945847166
PUF60	TRUE	FALSE	chr8	-	cassette exon	143820666	143820716	51	coding exon	processed_transcript;protein_coding;retained_intron	chr8:143820717-143821596	chr8:143818535-143821596	inclusion	TRUE	TRUE		0.748383747136384	0.711777225154468	-3.66065219819158	-0.19813561098522	-2.19216440377091	0.0306413959679861	0.0887660883195236	0.0874885235683594	0.23019537333267	0.0597457059397995	0.78017861755723
RBM39	TRUE	FALSE	chr20	-	cassette exon	35740525	35740597	73	non-coding annotation only	nonsense_mediated_decay;processed_transcript	chr20:35739018-35740524	chr20:35739018-35740823	inclusion	TRUE	TRUE	0.396548836451021	0.487732553221717	0.327880437959528	-15.9852115262189	-0.353574302257092	-4.97940202489047	2.57350772146509e-06	4.20793257726096e-05	0.0665201622580512	0.306569736437153	-0.000230395747919637	1
RBM39	TRUE	FALSE	chr20	-	cassette exon	35713702	35713857	156	NMD-only exon	nonsense_mediated_decay	chr20:35713858-35714184	chr20:35713097-35714184	inclusion	TRUE	FALSE	0.0901161047733343	0.0992770897759642	0.0719533429113	-2.73237468646642	-0.190990625999548	-2.46104423100252	0.0155153549448481	0.0528205427101386	-0.0118148714856537	0.941406122136108	-0.0568040335963216	0.720821275119824
RBM39	TRUE	FALSE	chr20	-	alternative 3' splice site	35709257	35709274	18	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr20:35709275-35713018	chr20:35709257-35713018	skipping	TRUE	FALSE	0.462477768837944	0.48650189860527	0.442406134825917	-4.40957637793524	-0.0106221496801457	-0.21880754081504	0.827232949911326	0.935501972651795	0.0211571341732917	0.694106923497671	0.0227359755454991	0.885309445713496
RBM42	TRUE	FALSE	chr19	+	cassette exon	35632936	35633001	66	coding exon	protein_coding	chr19:35631406-35632935	chr19:35631406-35633097	skipping	TRUE	FALSE		0.261742533621557	0.18508574555417	-7.66567880673875	-0.161790667394811	-1.32816174077269	0.187273697735084	0.355022888547221	0.103053088225785	0.302619915844845	0.0865783807897957	0.728221025506894
SEC13	TRUE	FALSE	chr3	-	other	10301148	10301374	227	not an annotated exon	""	chr3:10301375-10304025	chr3:10301148-10304025	skipping	TRUE	FALSE	0.149174872409056	0.116525733998942	0.172296327802427	5.57705938034854	0.192646784188143	5.69320131999993	1.18395058281908e-07	2.83564502265332e-06	-0.0369401204596311	0.229566343614231	-0.000700990421824399	1
SNRNP200	TRUE	FALSE	chr2	-	unannotated splice site	96293510	96295351	1842	not an annotated exon	""	chr2:96295352-96295487	chr2:96293510-96295487	inclusion	FALSE	FALSE	0.150922668773298	0.111093731069305	0.170033029488549	5.89392984192444	0.239580845942409	3.19657348594171	0.00184705028823671	0.0101977565426835	-0.092144953507663	0.0988075252476182	-0.0557209491234153	0.711243064230179
SNRPB	TRUE	FALSE	chr20	-	other	2461794	2461939	146	not an annotated exon	""	chr20:2461940-2462635	chr20:2461794-2462635	skipping	TRUE	FALSE	0.20343630355773	0.152317184485679	0.21672580662902	6.44086221433408	0.154601561260694	2.89525052256565	0.00462621442209056	0.0208394109265298	-0.079893604188677	0.0268901346430348	-0.0602116491890832	0.376498861396169
SNU13	TRUE	FALSE	chr22	-	cassette exon	41682356	41682622	267	coding exon	protein_coding	chr22:41680365-41682355	chr22:41680365-41688793	skipping	TRUE	FALSE		0.559911439646827	0.618065092031334	5.8153652384507	7.19714608660988e-05	0.000507964305362874	0.999595715097019	1	-0.0459483435392106	0.793030961044261	-0.0545159132598665	0.944113575193574
SRRT	TRUE	FALSE	chr7	+	alternative 3' splice site	100885213	100885215	3	coding exon	protein_coding	chr7:100885041-100885212	chr7:100885041-100885215	skipping	TRUE	FALSE	0.452083007861863	0.455799092781588	0.446391896922648	-0.940719585893929	-0.00855222664339441	-0.126320558464333	0.899724438905504	0.983910873542643	-0.0274835515476985	0.722097216072126	-0.0345406813320816	0.86192428988424
SRSF10	TRUE	FALSE	chr1	-	alternative 3' splice site	23971624	23971626	3	coding exon	processed_transcript;protein_coding;retained_intron	chr1:23971627-23971849	chr1:23971624-23971849	skipping	TRUE	FALSE	0.221492171799846	0.238310080422276	0.216556849783524	-2.17532306387519	-0.0672228264088685	-1.22218804393607	0.224426065044765	0.401300235129992	0.0149137737726908	0.838155612483686	0.00264696935397738	1
SRSF3	TRUE	TRUE	chr6	+	cassette exon	36599821	36600276	456	NMD-only exon	nonsense_mediated_decay	chr6:36598984-36599820	chr6:36598984-36601151	inclusion	TRUE	TRUE	0.0875001910340245	0.126329283329905	0.0606679160891815	-6.56613672407237	-0.363836948050317	-7.655711634845	1.07827628740013e-11	6.66766846081424e-10	0.0240494379379398	0.724121588893087	-0.0529451264408864	0.388844137308143
SRSF7	TRUE	TRUE	chr2	-	cassette exon	38746144	38746179	36	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr2:38746180-38746693	chr2:38745188-38746693	skipping	TRUE	TRUE	0.0959327543979741	0.103196114094641	0.0904437107517719	-1.27524033428695	-0.0488969494988535	-0.811890577227945	0.418726787830491	0.610644136179279	0.0209719264242573	0.779517397761986	0.0139431736351814	1
TXNL4A	TRUE	FALSE	chr18	-	cassette exon	79986602	79986750	149	NMD-only exon	nonsense_mediated_decay	chr18:79977702-79986601	chr18:79977702-79988239	inclusion	TRUE	TRUE	0.136578943420331	0.167508152359603	0.112041319741888	-5.54668326177149	-0.100666988898632	-0.969336141710588	0.334648212180361	0.530884918919877	0.0672757254872172	0.4812369829157	0.0573137289325769	0.846266210601829
U2AF1	TRUE	FALSE	chr21	-	cassette exon	43100453	43100519	67	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr21:43095744-43100452	chr21:43095744-43101365	skipping	TRUE	FALSE	0.249959044645265	0.279427962906849	0.238209138515046	-4.12188243918025	-0.0667946852857563	-2.1319646549856	0.0353874902538552	0.0968245006865339	0.00195544453231847	1	-0.0126396810783458	0.925794517878951
U2AF1	TRUE	FALSE	chr21	-	cassette exon	43101366	43101432	67	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr21:43101433-43104314	chr21:43100520-43104314	inclusion	TRUE	FALSE	0.240551838616252	0.242717514121652	0.235600219975409	-0.711729414624271	-0.0436135982405853	-1.2320150735003	0.220748595854327	0.397761041366924	-0.0136392441546182	0.737594343865282	-0.0259595980556499	0.719163563139003
AAMP	FALSE	FALSE	chr2	-	alternative 3' splice site	218269535	218269537	3	coding exon	protein_coding	chr2:218269538-218269965	chr2:218269535-218269965	inclusion	TRUE	FALSE	0.149393956297579	0.153490785799972	0.143094530337967	-1.03962554620044	0.0743127690402669	0.908454712233728	0.365758739132031	0.565863456030206	0.0205774677033457	0.854012442237037	0.041071935978293	0.865330761437268
ABCB9	FALSE	FALSE	chr12	+	unannotated splice site	122981267	122981299	33	not an annotated exon	""	chr12:122981300-122981594	chr12:122981267-122981594	skipping	TRUE	FALSE	0.465644953402837	0.443209409629247	0.463944274796668	2.07348651674213	0.0631661535455669	1.44910057268234	0.15034726392347	0.303188698219301	-0.0258941824269504	0.548359975491591	-0.0165902007632117	0.946517121398466
ABCB9	FALSE	FALSE	chr12	+	unannotated splice site	122981571	122981594	24	not an annotated exon	""	chr12:122981300-122981570	chr12:122981300-122981594	inclusion	TRUE	FALSE	0.242228203633479	0.20819064933764	0.262895595978402	5.47049466407622	0.142498539144664	1.22607912669231	0.222964666496971	0.399615776313585	-0.125014041832086	0.154360888725574	-0.116484011206784	0.476044928459949
ABI1	FALSE	FALSE	chr10	-	alternative 3' splice site	26759236	26759238	3	coding exon	protein_coding	chr10:26759239-26765217	chr10:26759236-26765217	skipping	TRUE	FALSE	0.296843440911575	0.295944622195711	0.308820165282446	1.28755430867351	0.0498231661379665	0.834572497347829	0.405889952387601	0.598626074618488	0.00272821345689073	1	0.0143981981947518	1
ABR	FALSE	FALSE	chr17	-	unannotated splice site	1006775	1007164	390	not an annotated exon	""	chr17:1006170-1006774	chr17:1006170-1007164	inclusion	TRUE	FALSE	0.132647410928661	0.137510371330603	0.130541599336061	-0.696877199454202	0.00469918186444014	0.272106615174504	0.786084746413795	0.908109450595556	-0.00262401577954114	0.938841245504339	-0.00206236940448025	1
ABR	FALSE	FALSE	chr17	-	unannotated splice site	1006840	1007164	325	not an annotated exon	""	chr17:1006170-1006839	chr17:1006170-1007164	inclusion	FALSE	FALSE	0.132647410928661	0.137510371330603	0.130541599336061	-0.696877199454202	0.00469918186444014	0.272106615174504	0.786084746413795	0.908109450595556	-0.00262401577954114	0.938841245504339	-0.00206236940448025	1
ABR	FALSE	FALSE	chr17	-	unannotated splice site	1006905	1007164	260	not an annotated exon	""	chr17:1006170-1006904	chr17:1006170-1007164	inclusion	FALSE	FALSE	0.132647410928661	0.137510371330603	0.130541599336061	-0.696877199454202	0.00469918186444014	0.272106615174504	0.786084746413795	0.908109450595556	-0.00262401577954114	0.938841245504339	-0.00206236940448025	1
ABR	FALSE	FALSE	chr17	-	unannotated splice site	1007035	1007164	130	not an annotated exon	""	chr17:1006170-1007034	chr17:1006170-1007164	inclusion	FALSE	FALSE	0.132647410928661	0.137510371330603	0.130541599336061	-0.696877199454202	0.00469918186444014	0.272106615174504	0.786084746413795	0.908109450595556	-0.00262401577954114	0.938841245504339	-0.00206236940448025	1
ABR	FALSE	FALSE	chr17	-	unannotated splice site	1007100	1007164	65	not an annotated exon	""	chr17:1006170-1007099	chr17:1006170-1007164	inclusion	FALSE	FALSE	0.132647410928661	0.137510371330603	0.130541599336061	-0.696877199454202	0.00469918186444014	0.272106615174504	0.786084746413795	0.908109450595556	-0.00262401577954114	0.938841245504339	-0.00206236940448025	1
ACADVL	FALSE	FALSE	chr17	+	alternative 3' splice site	7224480	7224483	4	coding exon	nonsense_mediated_decay;processed_transcript;protein_coding;retained_intron	chr17:7224394-7224479	chr17:7224394-7224483	skipping	TRUE	FALSE		0.0422971271292287	0.0399302290790187	-0.236689805021004	-0.107242749351291	-1.65222609837154	0.101563656250582	0.223808847540694	-0.0395930310917164	0.529513983860285	-0.0709836627357044	0.409302684141482
ACLY	FALSE	FALSE	chr17	-	alternative 3' splice site	41913897	41913900	4	coding exon	protein_coding	chr17:41913901-41918879	chr17:41913897-41918879	inclusion	TRUE	FALSE		0.354204870696422	0.38332206530184	2.91171946054177	0.143361293691442	1.44883963091535	0.150480012524016	0.303188698219301	-0.0355490000533439	0.767928378608926	-0.0102014518493313	1
ACLY	FALSE	FALSE	chr17	-	cassette exon	41896620	41896649	30	coding exon	protein_coding	chr17:41893175-41896619	chr17:41893175-41897748	skipping	TRUE	TRUE	0.426555885882983	0.402374791991158	0.429679341112249	2.73045491210911	0.078282988077816	0.885292772503425	0.378060832000024	0.576735013699811	0.0154144986002624	0.921637828126475	0.0358323549359726	0.925794517878951
ACP1	FALSE	FALSE	chr2	+	cassette exon	272192	272305	114	coding exon	nonsense_mediated_decay;protein_coding	chr2:272306-275139	chr2:272151-275139	skipping	TRUE	FALSE	0.487428699501054	0.385429014544478	0.568549836489488	18.312082194501	0.288730418576934	5.76745380639112	8.49658244482632e-08	2.14050939961885e-06	-0.0579925372816893	0.192301648075535	-0.00417064617518993	1
ACP1	FALSE	FALSE	chr2	+	cassette exon	272037	272150	114	coding exon	nonsense_mediated_decay;processed_transcript;protein_coding;retained_intron	chr2:271940-272036	chr2:271940-272191	skipping	TRUE	FALSE	0.175881425826326	0.236078033369689	0.130440125743645	-10.5637907626044	-0.299121132173161	-2.75084398584005	0.00702357854146431	0.0290598426028226	0.106777194777741	0.231713720879217	0.0597544841475367	0.846802145998523
ACTN1	FALSE	FALSE	chr14	-	cassette exon	68878989	68879069	81	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr14:68879070-68879961	chr14:68878524-68879961	skipping	TRUE	FALSE	0.0914713456345209	0.145474720879236	0.0591326460210992	-8.6342074858137	-0.427145752050041	-6.26476185855475	8.77364770352678e-09	2.98391758396947e-07	0.12510953654018	0.0131974965887407	0.0528409264211145	0.685750082706529
ACTN1	FALSE	FALSE	chr14	-	cassette exon	68878458	68878523	66	coding exon	nonsense_mediated_decay;protein_coding;retained_intron	chr14:68877241-68878457	chr14:68877241-68878988	inclusion	TRUE	FALSE	0.13042542144366	0.201210246722787	0.0862487482459273	-11.4961498476859	-0.341031922378868	-5.4954558240274	2.83613975709321e-07	6.18314827812437e-06	0.0922731998534379	0.0524113635031292	0.0331497613928677	0.853966070835217
ADAMTS2	FALSE	FALSE	chr5	-	cassette exon	179150888	179151200	313	coding exon	protein_coding	chr5:179151201-179152141	chr5:179140036-179152141	inclusion	TRUE	FALSE	0.132832642957333	0.136257461409647	0.130495266751416	-0.576219465823147	-0.0200507055593342	-0.297830468774442	0.766432470717338	0.893295693252114	0.0728410047481588	0.147107859516309	0.0819769135195048	0.293588017304616
ADAMTSL1	FALSE	FALSE	chr9	+	cassette exon	18675857	18675907	51	coding exon	protein_coding	chr9:18662074-18675856	chr9:18662074-18680311	skipping	TRUE	TRUE	0.194514792594546	0.15257318724519	0.217045973196604	6.44727859514145	0.220409102279878	2.81671325283846	0.00581626348729352	0.0251348311566523	-0.0513178895408615	0.495586947167869	-0.0115502061116231	1
